Age,Gender,Country,family_history,treatment,work_interfere,self_employed,remote_work,no_employees,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
23,Female,United States,No,No,Rarely,No,No,More than 1000,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No
38,Male,United Kingdom,No,No,NA,No,No,26-100,Yes,No,No,No,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No
33,Male,United States,No,No,Never,No,No,More than 1000,Yes,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No
19,Male,United Kingdom,No,No,NA,No,No,More than 1000,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No
25,Male,United States,No,No,NA,No,Yes,More than 1000,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No
31,Male,United States,Yes,No,Sometimes,Yes,Yes,More than 1000,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No
32,Male,United States,Yes,Yes,Sometimes,No,Yes,26-100,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No
28,Male,Germany,No,No,Never,No,Yes,More than 1000,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No
38,Male,United States,Yes,No,Sometimes,No,Yes,100-500,Yes,Yes,Yes,No,Yes,Don't know,Don't know,No,No,Yes,Some of them,Maybe,Maybe,Yes,No
23,Male,United Kingdom,No,No,Never,No,No,26-100,Yes,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
30,Male,Canada,No,No,Never,No,No,26-100,No,No,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,No,No
27,Female,United States,No,Yes,Often,Yes,Yes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
33,Male,United States,Yes,No,Never,No,No,More than 1000,Yes,No,No,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No
31,Male,United States,No,No,NA,No,No,26-100,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No
39,Male,United Kingdom,No,Yes,Often,Yes,No,More than 1000,Yes,No,No,No,No,Don't know,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes
34,Female,United States,Yes,Yes,Rarely,No,Yes,500-1000,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No
29,Female,United States,No,Yes,Sometimes,No,No,26-100,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes
32,Male,United States,No,No,NA,No,No,500-1000,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
31,Male,United States,No,No,Never,No,No,500-1000,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
40,Male,United States,No,Yes,Sometimes,No,No,26-100,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No
34,Male,United States,No,No,NA,No,No,26-100,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Don't know,No
18,Male,Russia,No,No,NA,No,Yes,26-100,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't know,No
25,Female,Canada,No,Yes,Sometimes,No,No,26-100,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
29,Male,United States,No,No,Never,No,No,26-100,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,No,No
24,Male,United States,Yes,No,Rarely,No,No,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No
31,Male,Mexico,Yes,Yes,Sometimes,No,No,More than 1000,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,No,No
33,Male,United States,No,Yes,Sometimes,No,No,More than 1000,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No
30,Male,United States,No,Yes,Often,No,No,More than 1000,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
26,Female,Canada,Yes,Yes,Sometimes,No,No,26-100,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes
44,Female,United States,No,No,Never,No,No,100-500,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No
25,Male,United States,Yes,No,NA,No,No,26-100,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No
33,Male,United States,Yes,Yes,Sometimes,No,Yes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
29,Male,United States,No,No,Never,No,No,More than 1000,Yes,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
35,Male,United States,Yes,No,Rarely,No,No,More than 1000,Yes,Yes,Not sure,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
35,Male,United States,Yes,Yes,Sometimes,No,Yes,26-100,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No
28,Male,Brazil,Yes,Yes,Rarely,No,No,More than 1000,Yes,No,No,No,No,No,Don't know,Maybe,No,Yes,Yes,No,No,Don't know,Yes
34,Male,United States,Yes,No,Never,No,Yes,More than 1000,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No
32,Male,United States,No,Yes,Sometimes,No,No,26-100,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No
22,Male,United States,No,Yes,Sometimes,No,No,500-1000,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Yes,No,No,No,No,Yes,No,No
28,Male,United States,No,Yes,Sometimes,No,No,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No
45,Male,United States,Yes,Yes,Rarely,No,Yes,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
32,Male,United States,No,No,Never,No,No,100-500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
28,Male,United States,No,No,NA,No,No,More than 1000,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
26,Male,United Kingdom,No,No,Never,No,No,More than 1000,Yes,Don't know,No,No,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Don't know,Yes
21,Male,United Kingdom,No,No,Often,Yes,Yes,More than 1000,No,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No
27,Male,Canada,No,No,Rarely,No,No,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,Don't know,No
18,Male,United States,No,Yes,Rarely,No,Yes,More than 1000,Yes,No,No,No,No,Yes,Very easy,No,No,Some of them,No,No,No,Don't know,No
35,Male,United States,No,No,NA,No,Yes,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
29,Male,United States,No,No,Never,No,No,More than 1000,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Yes,Yes,No,No,No,No,Don't know,No
25,Male,United States,No,No,NA,No,Yes,26-100,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No
33,Male,United States,Yes,Yes,Sometimes,No,Yes,More than 1000,Yes,Don't know,No,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No
36,Male,United States,No,No,Often,No,No,More than 1000,Yes,Yes,No,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No
27,Male,Canada,No,Yes,Never,No,No,100-500,No,Yes,Not sure,No,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes
27,Male,United States,Yes,No,Never,No,No,500-1000,Yes,Yes,No,Yes,Yes,Yes,Don't know,Yes,No,Some of them,No,No,Yes,Don't know,No
27,Male,United Kingdom,No,No,NA,No,No,More than 1000,Yes,No,No,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
32,Male,United States,No,Yes,Rarely,No,No,100-500,Yes,Yes,Yes,No,Yes,Yes,Don't know,Yes,No,No,Yes,No,No,Don't know,No
31,Male,United Kingdom,Yes,No,Sometimes,No,No,More than 1000,Yes,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,No
19,Male,Slovenia,No,Yes,Sometimes,No,No,More than 1000,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Yes,Yes,Some of them,No,No,No,Don't know,No
33,Male,United States,Yes,Yes,Sometimes,No,No,More than 1000,Yes,Yes,Yes,No,No,Don't know,Very easy,Maybe,No,Yes,Some of them,No,Yes,No,No
32,Male,United States,No,No,Rarely,No,Yes,More than 1000,Yes,No,Yes,No,No,Don't know,Very difficult,Maybe,No,Yes,Some of them,No,Yes,Don't know,No
27,Male,United States,No,No,Never,No,No,26-100,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
38,Male,Costa Rica,No,No,NA,No,Yes,26-100,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No
24,Male,Canada,No,Yes,Never,No,No,26-100,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No
39,Male,United Kingdom,No,No,Never,No,No,26-100,No,No,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No
28,Male,United Kingdom,No,No,Never,No,No,More than 1000,Yes,Don't know,No,No,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
39,Male,United States,No,Yes,Often,No,No,More than 1000,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No
29,Female,United States,No,No,NA,No,No,More than 1000,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No
22,Male,Austria,No,No,NA,No,Yes,More than 1000,Yes,Don't know,No,Don't know,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,No,Don't know,No
38,Male,United States,Yes,Yes,Sometimes,No,No,100-500,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No
37,Male,United Kingdom,No,Yes,Sometimes,Yes,No,More than 1000,No,No,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe,Yes,No
35,Male,United States,No,No,Never,No,Yes,26-100,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,Don't know,No
30,Female,United States,Yes,No,NA,No,Yes,More than 1000,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No
37,Male,United States,Yes,Yes,Rarely,No,No,100-500,No,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,Don't know,No
24,Male,United Kingdom,No,No,Never,No,No,More than 1000,Yes,No,No,No,No,Yes,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No
23,Male,United States,No,No,Sometimes,No,No,More than 1000,No,No,No,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No
30,Male,Ireland,No,Yes,Rarely,No,No,100-500,Yes,No,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,No,Some of them,No,No,No,No,Yes
29,Female,United States,No,No,NA,No,Yes,100-500,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No
19,Male,Canada,Yes,No,NA,Yes,Yes,More than 1000,Yes,Don't know,Not sure,No,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
32,Male,United States,Yes,No,Never,No,No,26-100,Yes,Don't know,Not sure,No,No,Don't know,Very easy,No,No,Some of them,Some of them,No,Maybe,No,No
28,Male,Poland,No,No,Rarely,No,Yes,More than 1000,Yes,No,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No
36,Male,United States,No,No,Never,No,No,More than 1000,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
37,Male,United Kingdom,Yes,Yes,Rarely,No,No,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe,Some of them,No,No,Yes,No,Yes
25,Male,United States,Yes,Yes,Sometimes,No,No,26-100,No,Don't know,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,No
27,Male,United States,Yes,Yes,Sometimes,No,No,More than 1000,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,No,Some of them,No,Maybe,Don't know,No
26,Male,United States,No,No,Often,No,No,26-100,No,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe,No,No
27,Male,United States,No,Yes,Rarely,No,Yes,26-100,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,Don't know,Yes
25,Male,United States,Yes,Yes,Sometimes,No,No,26-100,Yes,Don't know,Not sure,No,No,Don't know,Very easy,Maybe,No,Some of them,No,No,No,Don't know,Yes
36,Male,United Kingdom,No,Yes,Sometimes,No,No,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes
25,Female,United States,Yes,Yes,Sometimes,No,No,500-1000,Yes,Yes,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No
31,Male,United States,No,No,Never,No,No,More than 1000,Yes,Yes,No,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
26,Male,United States,Yes,No,Rarely,No,No,More than 1000,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No
33,Female,United States,Yes,Yes,Sometimes,Yes,No,More than 1000,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,No,Some of them,Yes,No,Yes,Yes,No
27,Female,United Kingdom,Yes,No,NA,Yes,Yes,More than 1000,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No
34,Male,United States,No,No,Never,No,No,26-100,Yes,No,No,No,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
42,Male,United States,No,No,NA,No,No,More than 1000,Yes,No,Yes,No,No,Don't know,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No
23,Male,Ireland,Yes,No,Sometimes,Yes,No,More than 1000,Yes,No,No,No,No,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No
24,Male,United Kingdom,No,No,Rarely,No,No,100-500,Yes,Don't know,Not sure,Yes,Don't know,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No
26,Male,United Kingdom,No,Yes,Sometimes,No,No,More than 1000,Yes,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No
31,Male,United Kingdom,No,Yes,Often,Yes,No,More than 1000,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
22,Male,India,No,Yes,Never,No,No,More than 1000,Yes,Don't know,Not sure,No,No,Don't know,Very difficult,Yes,Maybe,No,No,Maybe,Maybe,No,No
23,Female,United States,No,No,NA,No,No,More than 1000,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
34,Female,Canada,Yes,Yes,Sometimes,No,No,More than 1000,No,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,No,No
31,Male,United States,No,No,Never,No,No,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No
28,Male,United Kingdom,No,No,NA,No,No,100-500,No,No,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No
32,Female,United States,No,Yes,Often,No,Yes,More than 1000,Yes,Yes,Not sure,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes
45,Female,United States,No,Yes,Sometimes,No,No,More than 1000,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No
33,Male,United States,No,No,NA,No,Yes,More than 1000,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Don't know,No
29,Male,Mexico,No,No,Never,No,Yes,More than 1000,Yes,No,No,No,No,No,Don't know,Maybe,Maybe,No,Yes,Maybe,Yes,No,No
26,Female,India,No,No,Sometimes,Yes,No,More than 1000,No,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
28,Female,United Kingdom,No,No,Never,No,No,26-100,Yes,Don't know,No,No,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
45,Male,United States,No,Yes,Sometimes,No,No,More than 1000,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No
43,Male,United States,Yes,Yes,Often,No,Yes,More than 1000,Yes,Yes,Not sure,No,Don't know,Don't know,Very difficult,Yes,Maybe,No,No,No,No,No,No
